State	EV_D	EV_R	Total Vote	D	R	Other	D	R	Other
Missouri	0	10	"2,763,689"	 44.28%	 53.64%	 2.08%	"1,223,796"	"1,482,440"	" 57,453"
Montana	0	3	"484,484"	 41.66%	 55.30%	 3.04%	"201,839"	"267,928"	" 14,717"
Nebraska	0	5	"794,379"	 38.03%	 59.80%	 2.17%	"302,081"	"475,064"	" 17,234"
Nevada	6	0	"1,014,918"	 52.36%	 45.68%	 1.97%	"531,373"	"463,567"	" 19,978"
New Hampshire	4	0	"710,972"	 51.98%	 46.40%	 1.62%	"369,561"	"329,918"	" 11,493"
New Jersey	14	0	"3,651,140"	 58.25%	 40.50%	 1.25%	"2,126,610"	"1,478,749"	" 45,781"
New Mexico	5	0	"783,757"	 52.99%	 42.84%	 4.16%	"415,335"	"335,788"	" 32,634"
New York	29	0	"7,081,536"	 63.35%	 35.17%	 1.49%	"4,485,877"	"2,490,496"	" 105,163"
North Carolina	0	15	"4,505,372"	 48.35%	 50.39%	 1.26%	"2,178,391"	"2,270,395"	" 56,586"
North Dakota	0	3	"322,627"	 38.69%	 58.32%	 2.99%	"124,827"	"188,163"	" 9,637"
Ohio	18	0	"5,590,934"	 50.58%	 47.60%	 1.82%	"2,827,709"	"2,661,437"	" 101,788"
Oklahoma	0	7	"1,334,872"	 33.23%	 66.77%	 0.00%	"443,547"	"891,325"	 0
Oregon	7	0	"1,789,270"	 54.24%	 42.15%	 3.61%	"970,488"	"754,175"	" 64,607"
Pennsylvania	20	0	"5,755,620"	 51.95%	 46.57%	 1.48%	"2,990,274"	"2,680,434"	" 84,912"
Rhode Island	4	0	"446,049"	 62.70%	 35.24%	 2.06%	"279,677"	"157,204"	" 9,168"
South Carolina	0	9	"1,964,118"	 44.09%	 54.56%	 1.35%	"865,941"	"1,071,645"	" 26,532"
South Dakota	0	3	"363,815"	 39.87%	 57.89%	 2.24%	"145,039"	"210,610"	" 8,166"
Tennessee	0	11	"2,460,904"	 39.04%	 59.42%	 1.54%	"960,709"	"1,462,330"	" 37,865"
Texas	0	38	"7,999,657"	 41.35%	 57.13%	 1.52%	"3,308,124"	"4,569,843"	" 121,690"
Utah	0	6	"1,020,861"	 24.67%	 72.55%	 2.79%	"251,813"	"740,600"	" 28,448"
Vermont	3	0	"299,290"	 66.57%	 30.97%	 2.46%	"199,239"	"92,698"	" 7,353"
Virginia	13	0	"3,854,489"	 51.16%	 47.28%	 1.56%	"1,971,820"	"1,822,522"	" 60,147"
Washington	12	0	"3,145,958"	 55.80%	 41.03%	 3.18%	"1,755,396"	"1,290,670"	" 99,892"
West Virginia	0	5	"672,119"	 35.45%	 62.14%	 2.41%	"238,269"	"417,655"	" 16,195"
Wisconsin	10	0	"3,068,434"	 52.83%	 45.89%	 1.29%	"1,620,985"	"1,407,966"	" 39,483"
Wyoming	0	3	"249,061"	 27.82%	 68.64%	 3.54%	"69,286"	"170,962"	" 8,813"
Total	332	206	"129,237,642"	 51.01%	 47.15%	 1.85%	"65,918,507"	"60,934,407"	" 2,384,728"
